keyword,en,ge,hr,it
SplitDesc,"Do it the Croatian way in Split - take a walk on famous Riva, have a coffee and enjoy life.
","Genieße Split so, wie es echte Kroaten tun - einen Spaziergang auf der berühmten Riva machen, Kaffee trinken und die Seele baumeln lassen.","U Splitu preuzmite tipičan splitski mentalitet - prošetajte se Rivom, popijte kavu i uživajte u životu.","Fallo nel modo croato a Spalato - fa' una passeggiata sulla famosa Riva, prendi un caffè e godi la vita."
KornatiDesc,"The National park Kornati is made for true explorers: With 89 islands, stunning shores and reefs and a unique underwater life, it's a must-see in Croatia.
","Der Nationalpark Kornati ist für wahre Entdecker wie geschaffen: Die 89 Inseln, überwältigenden Küsten, Riffe und das einmalige Unterwasserleben muss man gesehen haben.","Nacionalni park Kornati pravi je biser za istraživačke duše: 89 otoka, zadivljujuće obale i grebeni te jedinstveno podmorje čine kornatsko otočje nezaobilaznom postajom u posjetu Hrvatskoj. ","Il Parco Nazionale di Kornati è ideale per veri esploratori: 89 isole, stupende coste e scoglie e una vita sottomarina unica sono assolutamente da vedere in Croazia"
ZlarinDesc,"With more than 2700 sunny hours a year, Zlarin is an ideal place for sunbath-lovers and hedonists.",Mit mehr als 2700 Sonnenstunden pro Jahr ist Zlarin der ideale Ort für Sonnenbad-Liebhaber und Hedonsiten.,Više od 2700 sunčanih sati na godinu čine otok Zlarin idealnim mjestom za obožavatelje sunčanja i prave hedoniste.,"Con più di 2700 ore di sole all'anno, Zlarin è un luogo ideale per gli amanti del sole ed edonisti."
KrkaDesc,National park Krka and its series of 7 scenic waterfalls is the place to be for real photography enthusiasts and explorers.,Die sieben malerischen Wasserfälle im Nationalpark Krka sind wie gemacht für richtige Fotografie-Enthusiasten und Entdecker.,"Čudesni vodopadi specifičnost su nacionalnog parka Krka, i pravo mjesto za entuzijaste fotografije i istraživačke duše.",I sette pittoresche cascate nel Parco Nazionale di Krka sono ideali per veri appassionati di fotografia ed esploratori.
RogoznicaDesc,"Rogoznica is the perfect place for those who are looking to spice up their vacation with local Croatian food, wine and a vibrant atmosphere.","
Rogoznica ist der perfekte Ort für diejenigen, die ihren Urlaub mit lokalen kroatischen Speisen, Wein und einer lebendigen Atmosphäre aufpeppen möchten.","Rogoznica je savršeno mjesto za sve one koji žele začiniti svoj odmor s kombinacijom lokalne kuhinje, autohtonih vina i jedinstvene atmosfere.","Rogoznica è il luogo perfetto per tutti coloro che stanno cercando di arricchire la loro vacanza con cucina locale croata, vino e un'atmosfera vivace."
PulaDesc,"When in Istra don't miss Pula, a city filled with remnants of the powerful Roman civilisation, beach-lined coast and hospitable people.
","Wenn man in Istrien ist, darf man Pula auf keinen Fall verpassen: Eine Stadt voller Überreste der mächtigen römischen Zivilisation, mit vielen Stränden und gastfreundlichen Einheimischen.","Tijekom boravka u Istri ne propustite posjetiti Pulu, grad bogat arheološkim ostacima antičke Rimske civilizacije, gostoljubivih lokalnih ljudi i prekrasne obale.","Quando sei in Istria, non mancare di vedere Pola, città piena di resti della potente civiltà romana, con molte spiagge e persone ospitabili."
RovinjDesc,"With its dreamy restaurants and romantic setting, Rovinj is the perfect spot for relaxing strolls and a true paradise for food enthusiasts.
",Mit seinen verträumten Restaurants und romantischen Ambiente ist Rovinj der perfekte Ort für entspannende Spaziergänge und ein wahres Paradies für echte Gourmets.,"Romantični restorani i sanjivo okruženje obilježavaju Rovinj, savršeno mjesto za opuštajući odmor uz šetnje uskim, kamenitim uličicama i pravi raj za istinske gurmane.","Con i suoi ristoranti sognanti e un ambiente romantico, Rovigno è il luogo ideale per rilassanti passeggiate e un vero paradiso per gli appassionati di cibo."
BrijuniDesc,"The National park Brijuni, former summer residence of the Yugoslavian president Tito, offers something to discover on every corner - see for yourself!","Der Nationalpark Brijuni, die ehemalige Sommerresidenz des jugoslawischen Präsidenten Tito, bietet an jeder Ecke etwas zu entdecken - überzeuge dich selbst!
","Nacionalni park Brijuni, prijašnja ljetna rezidencija jugoslavenskog predsjednika Tita, na svakom uglu nudi jedinstven spoj prirodnih ljepota i bogatstva kulturnog nasljeđa - uvjerite se sami!","In ogni angolo del Parco nazionale di Brioni, l'ex residenza estiva del presidente jugoslavo Tito, c'è qualcosa da scoprire - vieni a vedere di persona!"
CresDesc,Cres is a place for active vacationists - workshops on how locals breed sheep or grow olives are just some of the activities you can discover while staying there.,"Cres ist ein Ort für aktive Urlauber - Workshops, wie Einheimische Schafe züchten oder Oliven anbauen sind nur einige der Aktivitäten, die auf dich warten.",Otok Cres je pravo mjesto za avanturiste u potrazi za aktivnim odmorom. Radionice mještana o tome kako se uzgajaju ovce ili masline samo su neke od aktivnosti na kojima možete sudjelovati. ,L'isola di Cres è un posto per i viaggiatori attivi - workshops su come la gente del posto alleva le pecore o coltiva le olive sono solo alcune delle attività che ti aspettano.
LetFriendsKnow,Let your friends know you care,"Lass deine Freunde wissen, dass sie dir wichtig sind",Pokaži svojim prijateljima da ti je stalo,Lascia che i tuoi amici sappiano che sono importanti per te
SharePageVoucher,Share our page and get them and yourself a 100E voucher for your next vacation with Sailingly,"Teile unsere Seite mit einem Freund, damit er und du einen 100E Sailingly-Gutschein bekommen können",Podijeli našu stranicu i sebi i svojim prijateljima osiguraj vaučer od 100€ za vaše sljedeće Sailingly putovanje,Condividi la nostra pagina e ottieni un buono sconto di 100E per te e per loro per la vostra prossima vacanza con Sailingly
FullName,Full name,Name und Nachname,Puno ime,Nome completo
EmailAddress,Email address,E-Mail Adresse,Email,Indirizzo email
FriendsMail,Friend's email address,E-Mail Adresse deines Freundes,Email od prijatelja/-ice,Indirizzo email del tuo amico
HaveYouHeard,"Hey, have you heard about Sailingly already? If not, you should definitely check them out!
","Hi, hast du schon von Sailingly gehört? Wenn nicht, solltest du auf alle Fälle einen Blick auf diese Seite werfen!","Hej, jesi li već čuo/la za Sailingly? Ako nisi, iskoristi priliku da ih upoznaš!","Ehi, hai già sentito parlare di Sailingly? Se no, dovresti assolutamente dare un'occhiata!"
ShareWithFriend,Share with a friend,Mit einem Freund teilen,Podijeli s prijateljem/-icom,Condividi con il tuo amico
GreatFriend,"What a great friend you are! Thank you for being awesome and sharing our page. :)
","Was für ein toller Freund doch bist! Danke, dass du so fantastisch bist und unsere Seite geteilt hast. :)","Wow, ti si stvarno prijatelj/-ica za poželjeti! Hvala što si tako super! ",Sei un vero amico! Grazie per essere fantastico e per aver condiviso la nostra pagina. :)
YouMightBookToo,"Hey, I've just booked a sailing vacation and I thought you might like this page, too!","Was für ein toller Freund doch bist! :) Danke,","Hej, upravo sam bukirao/-la odmor na jedrilici. Mislim da bi se i tebi ova stranica svidjela!","Ehi, ho appena prenotato una vacanza in barca a vela e ho pensato che anche a te piacerebbe questa pagina!"
SharePageVoucher,Share this page with your friends,Teile unsere Seite mit deinen Freunden,Podijeli ovu stranicu sa svojim prijateljima ,Condividi questa pagina con i tuoi amici
AHundred,and send thema 100E voucher,und schicke ihnen einen 100E Gutschein,i osiguraj im bon od 100€,e inviagli un buono sconto di 100E
ForNext,voucher for their next vacation with Sailingly.,Gutschein für ihren nächsten Urlaub mit Sailingly.,za njihovo sljedeće putovanje uz Sailingly.,per la loro prossima vacanza in barca a vela.
Email,email,E-Mail,email,indirizzo email
Date,date,Datum,datum,data
Budget,budget,Budget,budžet,budget
Guests,guests,Gäste,gosti,ospiti
UpTo2000,Up to 2000,Bis 2000,Do 2000,fino a 2000
Over10000,Over 10000,Über 100000,Više od 10000,oltre 10000
MoreThan10,More than 10,Mehr als 10,Više od 10,più di 10
SetSailInCro,Set sail in Croatia,Setze Segel in Kroatien,Zaplovi u Hrvatskoj,Issa la vela in Croatia
Search,Search!,Suchen!,Pretraži!,Rierca!
SkipperAvalible,Skipper available,Skipper verfügbar,Dostupan skiper,Skipper disponibile
LoadMore,Load more,Mehr anzeigen,Učitaj više,Mostra più articoli
GreatFriendFirst,What a great friend you are!,Was für ein toller Freund doch bist!,Sharing,Sei un vero amico!
